DEPARTAMENTO,PROVINCIA,DISTRITO,DISTANCIA,UBIGEO,ANIO,TOTAL_POBLACION,TOTAL_VIVIENDA,VIVIENDAS_HABITADAS,POBLACION_CON_COBERTURA,POBLACION_SIN_COBERTURA,FECHA_CORTE,Latitude,Longitude
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2018,280,56,47,280.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2018,345,69,69,345.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,CANCHIS,SICUANI,165,80601,2018,350,102,99,350.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,35,8,8,25.0,10.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,145,40,40,145.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,54,18,18,54.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,122,40,38,122.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,165,55,53,165.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,90,30,30,90.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,150,50,48,150.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,155,38,35,155.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,36,13,12,36.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,35,10,10,35.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,70,24,24,70.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,282,94,84,282.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,52,22,15,52.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,19,8,5,19.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,112,26,26,112.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,114,30,30,114.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,35,12,10,35.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,308,77,77,308.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,186,66,62,186.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,645,215,215,645.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,335,92,85,335.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,300,120,100,300.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,284,75,71,284.0,0.0,20230810,-14.2729288,-71.2265322
